"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2022","1,711.90","1,660.53","1,729.43","1,659.77","","3.15%"
"09/01/2022","1,659.67","1,711.09","1,735.37","1,614.35","","-2.98%"
"08/01/2022","1,710.70","1,765.05","1,807.90","1,709.10","","-3.09%"
"07/01/2022","1,765.22","1,807.31","1,814.36","1,680.78","","-2.31%"
"06/01/2022","1,806.89","1,837.37","1,877.38","1,802.20","","-1.64%"
"05/01/2022","1,837.09","1,896.09","1,910.03","1,786.95","","-3.13%"
"04/01/2022","1,896.40","1,937.51","1,998.60","1,872.19","","-2.11%"
"03/01/2022","1,937.23","1,908.19","2,070.29","1,890.03","","1.54%"
"02/01/2022","1,907.90","1,796.72","1,974.48","1,788.39","","6.20%"
"01/01/2022","1,796.47","1,830.14","1,853.98","1,779.88","","-1.75%"
"12/01/2021","1,828.39","1,774.15","1,830.58","1,753.84","","3.08%"
"11/01/2021","1,773.78","1,783.24","1,877.40","1,758.45","","-0.51%"
"10/01/2021","1,782.81","1,756.91","1,814.22","1,745.45","","1.49%"
"09/01/2021","1,756.66","1,813.57","1,834.55","1,721.07","","-3.13%"
"08/01/2021","1,813.43","1,814.34","1,832.10","1,684.77","","-0.01%"
"07/01/2021","1,813.58","1,770.06","1,833.99","1,765.47","","2.47%"
"06/01/2021","1,769.80","1,907.53","1,916.84","1,750.11","","-7.16%"
"05/01/2021","1,906.36","1,768.49","1,913.15","1,765.91","","7.79%"
"04/01/2021","1,768.59","1,708.09","1,798.29","1,705.42","","3.61%"
"03/01/2021","1,707.01","1,733.40","1,760.02","1,676.70","","-1.53%"
"02/01/2021","1,733.49","1,863.05","1,871.84","1,717.26","","-6.10%"
"01/01/2021","1,846.09","1,897.69","1,959.60","1,810.46","","-2.66%"
"12/01/2020","1,896.49","1,777.40","1,906.93","1,775.52","","6.72%"
"11/01/2020","1,777.02","1,878.59","1,965.92","1,764.69","","-5.37%"
"10/01/2020","1,877.95","1,885.80","1,933.45","1,859.67","","-0.40%"
"09/01/2020","1,885.44","1,967.63","1,992.38","1,848.45","","-4.28%"
"08/01/2020","1,969.75","1,980.98","2,073.41","1,864.30","","-0.25%"
"07/01/2020","1,974.69","1,781.60","1,981.22","1,757.68","","10.90%"
"06/01/2020","1,780.67","1,738.05","1,786.02","1,670.74","","3.15%"
"05/01/2020","1,726.30","1,685.95","1,765.94","1,670.06","","2.75%"
"04/01/2020","1,680.09","1,571.00","1,747.85","1,566.97","","6.94%"
"03/01/2020","1,571.05","1,591.10","1,702.96","1,451.50","","-0.86%"
"02/01/2020","1,584.74","1,590.20","1,689.11","1,547.40","","-0.32%"
"01/01/2020","1,589.81","1,517.24","1,611.15","1,517.12","","4.80%"
"12/01/2019","1,517.01","1,467.03","1,525.45","1,453.91","","3.63%"
"11/01/2019","1,463.90","1,513.32","1,515.81","1,445.61","","-3.26%"
"10/01/2019","1,513.16","1,472.30","1,518.81","1,459.00","","2.80%"
"09/01/2019","1,472.00","1,520.10","1,557.38","1,464.42","","-3.15%"
"08/01/2019","1,519.85","1,411.34","1,555.13","1,400.65","","7.52%"
"07/01/2019","1,413.55","1,392.83","1,452.96","1,381.84","","0.32%"
"06/01/2019","1,409.10","1,307.40","1,438.99","1,306.62","","7.96%"
"05/01/2019","1,305.25","1,283.59","1,307.11","1,266.18","","1.71%"
"04/01/2019","1,283.35","1,291.48","1,310.96","1,266.25","","-0.66%"
"03/01/2019","1,291.90","1,312.94","1,324.57","1,281.10","","-1.58%"
"02/01/2019","1,312.66","1,320.93","1,347.11","1,302.53","","-0.60%"
"01/01/2019","1,320.56","1,282.78","1,326.65","1,276.58","","2.95%"
"12/01/2018","1,282.73","1,223.19","1,284.34","1,221.22","","4.98%"
"11/01/2018","1,221.88","1,215.24","1,237.74","1,196.19","","0.64%"
"10/01/2018","1,214.14","1,192.19","1,243.63","1,183.24","","1.88%"
"09/01/2018","1,191.69","1,200.29","1,212.90","1,180.68","","-0.75%"
"08/01/2018","1,200.71","1,223.97","1,225.10","1,160.19","","-1.86%"
"07/01/2018","1,223.41","1,253.49","1,266.26","1,211.48","","-2.30%"
"06/01/2018","1,252.25","1,298.79","1,309.64","1,245.67","","-3.52%"
"05/01/2018","1,297.92","1,315.40","1,326.17","1,282.00","","-1.30%"
"04/01/2018","1,314.95","1,326.21","1,365.37","1,310.29","","-0.68%"
"03/01/2018","1,324.00","1,318.22","1,356.87","1,302.76","","0.48%"
"02/01/2018","1,317.66","1,345.08","1,361.97","1,306.99","","-2.01%"
"01/01/2018","1,344.70","1,302.62","1,366.26","1,302.60","","3.24%"
"12/01/2017","1,302.45","1,274.59","1,307.97","1,236.27","","2.20%"
"11/01/2017","1,274.36","1,270.94","1,299.44","1,265.49","","0.25%"
"10/01/2017","1,271.20","1,279.20","1,306.46","1,260.51","","-0.62%"
"09/01/2017","1,279.10","1,322.03","1,357.74","1,277.60","","-3.22%"
"08/01/2017","1,321.60","1,269.05","1,326.19","1,251.36","","4.14%"
"07/01/2017","1,269.05","1,241.76","1,271.29","1,204.73","","2.24%"
"06/01/2017","1,241.20","1,268.90","1,296.26","1,236.78","","-2.12%"
"05/01/2017","1,268.09","1,268.50","1,274.30","1,214.18","","0.03%"
"04/01/2017","1,267.65","1,248.30","1,295.66","1,243.69","","1.52%"
"03/01/2017","1,248.63","1,248.57","1,261.41","1,194.89","","0.01%"
"02/01/2017","1,248.52","1,210.60","1,264.18","1,198.04","","3.14%"
"01/01/2017","1,210.51","1,151.09","1,220.21","1,145.99","","5.13%"
"12/01/2016","1,151.46","1,173.01","1,188.09","1,122.69","","-1.81%"
"11/01/2016","1,172.70","1,276.90","1,337.85","1,170.72","","-8.19%"
"10/01/2016","1,277.28","1,317.83","1,319.93","1,241.46","","-2.93%"
"09/01/2016","1,315.80","1,309.35","1,353.03","1,302.33","","0.56%"
"08/01/2016","1,308.45","1,349.97","1,367.69","1,305.02","","-3.12%"
